column_name,question_short_es,question_short_en,question_es,question_en,category_en,category_short_en,category_es,category_short_es
pra2n,Calificado para laborar como funcionario electo,Feels Qualified to Do the Work of Elected Official,"En general, åÀquÌ© tan calificado(a) o capacitado(a) se siente usted para realizar el trabajo de un funcionario polÌ_tico electo, como por ejemplo diputado, alcalde o regidor?","In general, how qualified do you feel to perform the work of an elected official, such as a deputy, mayor, or alderman?",NA,NA,NA,NA
pra8an_1,Motivado por los lÌ_deres polÌ_tico,Encouraged by Political Leader,"åÀQuiÌ©n lo(a) alentÌ_? [Leer alternativas. Marcar TODAS las que mencione]. Seleccionado: LÌ_deres polÌ_ticos (nacionales, locales)","Who encouraged you? [Read alternatives. Mark ALL that are mentioned.] Selected: Political leaders (National, Local)",NA,NA,NA,NA
pra8an_2,Motivado por otros lÌ_deres o grupos de la comunidad,Encouraged by Other Community Leaders or Groups,åÀQuiÌ©n lo(a) alentÌ_? [Leer alternativas. Marcar TODAS las que mencione]. Seleccionado: Otros lÌ_deres o grupos de la comunidad local (no polÌ_ticos),Who encouraged you? [Read alternatives. Mark ALL that are mentioned.] Selected: Other community leaders or groups (non-political),NA,NA,NA,NA
pra8an_3,Motivado por otros lÌ_deres o grupos nacionales,Encouraged by Other National Leaderes or Groups,åÀQuiÌ©n lo(a) alentÌ_? [Leer alternativas. Marcar TODAS las que mencione]. Seleccionado: Otros lÌ_deres o grupos nacionales,Who encouraged you? [Read alternatives. Mark ALL that are mentioned.] Selected: Other national leaders or groups,NA,NA,NA,NA
pra8an_5,"Motivado por jefe, empleador o patrÌ_n","Encouraged by Boss, Employer, or Patron","åÀQuiÌ©n lo(a) alentÌ_? [Leer alternativas. Marcar TODAS las que mencione]. Seleccionado: Su jefe, empleador o patrÌ_n","Who encouraged you? [Read alternatives. Mark ALL that are mentioned.] Selected: Boss, employer, or patron",NA,NA,NA,NA
pra8an_6,"Motivado por miembros defamilia, amigos o colegas","Encouraged by Family, Friends, Colleagues","åÀQuiÌ©n lo(a) alentÌ_? [Leer alternativas. Marcar TODAS las que mencione]. Seleccionado: Miembros de su familia, amigos o colegas","Who encouraged you? [Read alternatives. Mark ALL that are mentioned.] Selected: Family members, friends or colleagues",NA,NA,NA,NA
pra8an_7,Motivado por miembros de los medios,Encouraged by Members of the Media,åÀQuiÌ©n lo(a) alentÌ_? [Leer alternativas. Marcar TODAS las que mencione]. Seleccionado: Miembros de los medios de comunicaciÌ_n,Who encouraged you? [Read alternatives. Mark ALL that are mentioned.] Selected: Members of the media,NA,NA,NA,NA
pra8an_77,Motivado por alguna otra person,Encouraged by Some Other Person,åÀQuiÌ©n lo(a) alentÌ_? [Leer alternativas. Marcar TODAS las que mencione]. Seleccionado: Otros (especifiar),Who encouraged you? [Read alternatives. Mark ALL that are mentioned.] Selected: Other (specify),NA,NA,NA,NA
pra8n,Motivado a presentarse como candiadato,Encouraged to Stand as Candidate for Political Office,åÀAlguna vez lo(a) alentaron personalmente a presentarse como candidato(a) a una elecciÌ_n para un cargo pÌ¼blico?,Have you ever been personally encouraged to stand as a candidate for an election to public office?,Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
prot3,ParticipÌ_ en una protesta,Participated in a Protest,åÀEn los Ì¼ltimos 12 meses ha participado en una manifestaciÌ_n o protesta pÌ¼blica?,"In the last 12 months, have you participated in a demonstration or protest march?",Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
psc1,Fuente principal de agua potable,Main Source of Drinking Water,åÀCuÌÁl es la principal fuente de agua que usan para tomar o beber los miembros de su hogar?,What is the main source of drinking-water for members of your household?,NA,NA,NA,NA
psc10,NÌ¼mero de facturas de agua sin pagar,Number of Water Bills Unpaid,"En ocasiones, la gente no paga los recibos de agua por distintas razones: no creen que sea importante, creen que el agua deberÌ_a ser gratis o porque no pueden pagarla. åÀDe las Ì¼ltimas 6 facturas/recibos de agua que recibiÌ_, dejÌ_ de pagar alguna?","Sometimes, people do not pay their water bills for different reasons: they do not believe it is important, they believe water should be free, or they cannot afford it. Of the past six water bills you received, did you not pay any?",NA,NA,NA,NA
psc11,ConexiÌ_n de baÌ±o,Bathroom Connection,åÀEl baÌ±o o servicio higiÌ©nico/sanitario de esta vivienda estÌÁ conectado a...,The bathroom or toilet facility/sanitary in this household is connected to...,NA,NA,NA,NA
psc11a,Tipo de sistema de baÌ±o,Type of Toilet System,åÀQuÌ© utilizan en su hogar como baÌ±o?,What do you use in your household as a bathroom?,NA,NA,NA,NA
psc12,BaÌ±o compartido con otros hogares,Toilet Facility Shared with Other Households,åÀUsted comparte este baÌ±o con otros hogares?,Do you share this facility with other households?,NA,NA,NA,NA
psc13_1,Basura: RecolecciÌ_n domiciliaria de basura formal,Trash: Household Waste Collection (formal),"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] RecolecciÌ_n domiciliaria de basura (pasa servicio municipal/formal de recolecciÌ_n)","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Household waste collection (municipal/formal service)",NA,NA,NA,NA
psc13_10,Basura: Recicla en su hogar,Trash: Recycle at Home,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] Recicla en su hogar (no abono)","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Recycle at home (not compost)",NA,NA,NA,NA
psc13_11,Basura: Lleva a centro de recepciÌ_n para reciclado,Trash: Take to Recycling Center,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] Lleva a centro de recepciÌ_n para reciclado","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Take to recycling center",NA,NA,NA,NA
psc13_12,Basura: RecolecciÌ_n domiciliaria para reciclaje formal,Trash: Household Recycling Collection (formal),"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] RecolecciÌ_n domiciliaria para reciclaje (municipal/formal)","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Household collection for recycling (municipal/formal)",NA,NA,NA,NA
psc13_13,Basura: RecolecciÌ_n domiciliaria para reciclaje informal,Trash: Household Recycling Collection (informal),"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] RecolecciÌ_n domiciliaria para reciclaje (informal/recolector)","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Household collection for recycling (informal/garbage pickers)",NA,NA,NA,NA
psc13_2,Basura: RecolecciÌ_n domiciliaria de basura informal,Trash: Household Waste Collection (informal),"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] RecolecciÌ_n domiciliaria de basura (pasa servicio informal de recolecciÌ_n)","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Household waste collection (informal service/garbage pickers)",NA,NA,NA,NA
psc13_3,Basura: La deposita en contenedores comunales,Trash: Disposal at Neighborhood/Community Containers,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] La deposita en contenedores comunales/barriales","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Disposal at neighborhood/community waste containers",NA,NA,NA,NA
psc13_4,Basura: La lleva al basurero municipal,Trash: Municipal Landfill,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] La lleva al botadero/vertedero/basurero municipal","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Take it to municipal landfill",NA,NA,NA,NA
psc13_5,Basura: La entierra,Trash: Bury It,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] La entierra","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Bury it",NA,NA,NA,NA
psc13_6,Basura: La prepara para abono/hace compost,Trash: Compost,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] La prepara para abono/hace compost","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Make compost",NA,NA,NA,NA
psc13_7,Basura: La quema,Trash: Burn It,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] La quema","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Burn it",NA,NA,NA,NA
psc13_8,Basura: La tira en terreno o en curso de agua,Trash: Disposal in Vacant Lots/Waterways,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] La tira en terreno baldÌ_o/basural o en curso de agua","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Disposal in vacant lot/waste land or in waterway",NA,NA,NA,NA
psc13_9,Basura: La tira en otro/cualquier lugar,Trash: Disposal in Other/Any Place,"Por favor, me podrÌ_a decir, åÀcÌ_mo eliminan la basura en esta vivienda? [NO leer alternativas. Marcar todas las que correspondan] La tira en otro/cualquier lugar","Please tell me, how do you get rid of trash at your home? [Don't read alternatives. Mark all that apply] Disposal in other/any place",NA,NA,NA,NA
psc2,Fuente principal de agua no bebible,Main Source of Water for Non-Drinking Purposes,"åÀCuÌÁl es la principal fuente de agua usada en su hogar para otros propÌ_sitos, tales como cocinar y lavarse las manos?","What is the main source of water used by your household for other purposes, such as cooking and hand washing?",NA,NA,NA,NA
psc3_0,No hay problemas en el hogar,No Home Problems,"Voy a mencionar algunos problemas con los que muchos [gentilicios] hemos tenido que lidiar en los Ì¼ltimos aÌ±os. åÀCuÌÁles de estos ha experimentado usted personalmente, o alguien de su hogar, en los Ì¼ltimos tres aÌ±os? [Leer alternativas. Marcar todas las que correspondan] Ninguno","I will mention some problems that many [denonym] have had to deal with in recent years. Which of these have you experienced personally, or someone in your home, in the last three years? [Read alternatives. Mark all that apply.] None",NA,NA,NA,NA
psc3_1,Tuvo falta de agua en casa,Experienced Lack of Water,"Voy a mencionar algunos problemas con los que muchos [gentilicios] hemos tenido que lidiar en los Ì¼ltimos aÌ±os. åÀCuÌÁles de estos ha experimentado usted personalmente, o alguien de su hogar, en los Ì¼ltimos tres aÌ±os? [Leer alternativas. Marcar todas las que correspondan] SequÌ_as que tengan como consecuencia cortes o falta de agua","I will mention some problems that many [denonym] have had to deal with in recent years. Which of these have you experienced personally, or someone in your home, in the last three years? [Read alternatives. Mark all that apply.] Droughts that result in cuts or lack of water",NA,NA,NA,NA
psc3_2,Tuvo cortes de energÌ_a en casa,Experienced Power Outages,"Voy a mencionar algunos problemas con los que muchos [gentilicios] hemos tenido que lidiar en los Ì¼ltimos aÌ±os. åÀCuÌÁles de estos ha experimentado usted personalmente, o alguien de su hogar, en los Ì¼ltimos tres aÌ±os? [Leer alternativas. Marcar todas las que correspondan] Cortes de energÌ_a elÌ©ctrica (luz)","I will mention some problems that many [denonym] have had to deal with in recent years. Which of these have you experienced personally, or someone in your home, in the last three years? [Read alternatives. Mark all that apply.] Electrical power cuts",NA,NA,NA,NA
psc3_3,Tuvo inundaciones,Experienced Floods,"Voy a mencionar algunos problemas con los que muchos [gentilicios] hemos tenido que lidiar en los Ì¼ltimos aÌ±os. åÀCuÌÁles de estos ha experimentado usted personalmente, o alguien de su hogar, en los Ì¼ltimos tres aÌ±os? [Leer alternativas. Marcar todas las que correspondan] Inundaciones","I will mention some problems that many [denonym] have had to deal with in recent years. Which of these have you experienced personally, or someone in your home, in the last three years? [Read alternatives. Mark all that apply.] Floods",NA,NA,NA,NA
psc4,Responsable de la falta de agua,Responsible for Lack of Water,åÀQuiÌ©n cree que es el principal responsable de las sequÌ_as que tienen como consecuencia cortes o falta de agua?,Who do you believe is primarily responsible for the lack of water?,NA,NA,NA,NA
psc5,Responsable de cortes de energÌ_a,Responsible for Power Outages,åÀQuiÌ©n cree que es el principal responsable de los cortes de energÌ_a elÌ©ctrica?,Who do you believe is primarily responsible for the power outage?,NA,NA,NA,NA
psc6,Responsable de inundaciones,Responsible for Flooding,åÀQuiÌ©n cree que es el principal responsable de las inundaciones?,Who do you believe is primarily responsible for the flooding?,NA,NA,NA,NA
psc7,NÌ¼mero de dÌ_as por semana con agua pÌ¼blica,Number of Days per Week with Water from Public Lines,åÀCuÌÁntos dÌ_as por semana recibe agua del/por acueducto/caÌ±erÌ_a/tuberÌ_a/ red pÌ¼blica?,How many days a week do you receive water from the water piping/public water line?,NA,NA,NA,NA
psc8,NÌ¼mero de horas por dÌ_a cib servicio de agua,Number of Hours per Day with Water when in Service,åÀCuÌÁntas horas de agua al dÌ_a tiene cuando tiene el servicio? Anotar cantidad de horas.,How many hours of water per day do you get during the days you have service? Write down amount of hours.,NA,NA,NA,NA
psc9,NÌ¼mero de interrupciÌ_nes del servicio de agua,Number of Times of Water Service Interruption,"åÀDurante las Ì¼ltimas cuatro semanas, cuÌÁntas veces fue interrumpido el servicio regular/habitual de agua?","During the past four weeks, how many times has the regular water service been interrupted?",NA,NA,NA,NA
q1,Sexo,Sex,GÌ©nero,Sex,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
q10a,Recibe remesas,Receives Remittances,"åÀUsted o alguien que vive en su casa recibe remesas, es decir, ayuda econÌ_mica del exterior?","Do you or someone else living in your household receive remittances, that is, economic assistance from abroad?",Migration,Migration,MigraciÌ_n,MigraciÌ_n
q10e,Ingreso del hogar en los Ì¼ltimos dos aÌ±os,Household Income Over Last Two Years,"En los Ì¼ltimos dos aÌ±os, el ingreso de su hogar","Over the past two years, has the income of your household",The Economy,Economy,La economÌ_a,EconomÌ_a
q11n,Estado civil,Marital Status,åÀCuÌÁl es su estado civil?,What is your marital status?,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
q12bn,NÌ¼mero de niÌ±os menores de 13 aÌ±os en el hogar,Number of Children under 13 in Household,åÀCuÌÁntos niÌ±os menores de 13 aÌ±os viven en este hogar?,How many children under the age of 13 live in this household?,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
q12c,NÌ¼mero de personas en el hogar,Number of People in Household,åÀCuÌÁntas personas en total viven en su hogar en este momento?,How many people in total live in this household at this time?,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
q14,Intenciones de vivir o trabajar en otro paÌ_s,Intends to Live or Work Abroad,åÀTiene usted intenciones de irse a vivir o a trabajar a otro paÌ_s en los prÌ_ximos tres aÌ±os?,Do you have any intention of going to live or work in another country in the next three years?,Migration,Migration,MigraciÌ_n,MigraciÌ_n
q2,Edad,Age,Edad,Age,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
q3cn,ReligiÌ_n,Religion,"Si usted es de alguna religiÌ_n, åÀpodrÌ_a decirme cuÌÁl es su religiÌ_n?","What is your religion, if any?",Political and Religious Orientation,Beliefs,OrientaciÌ_n polÌ_tica y religiosa,Creencias
q5a,Asistencia a servicios religiosos,Attendance at Religious Services,åÀCon quÌ© frecuencia asiste usted a servicios religiosos?,How often do you attend religious services?,Political and Religious Orientation,Beliefs,OrientaciÌ_n polÌ_tica y religiosa,Creencias
q5b,Importancia de la religiÌ_n,Importance of Religion,"Por favor, åÀpodrÌ_a decirme, quÌ© tan importante es la religiÌ_n en su vida?",Could you please tell me how important is religion in your life?,Political and Religious Orientation,Beliefs,OrientaciÌ_n polÌ_tica y religiosa,Creencias
r1,TelevisiÌ_n en casa,Television in Home,PodrÌ_a decirme si en su casa tienen-TelevisiÌ_n,Could you tell me if you have the following in your house-Television,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r12,Agua potable en la vivienda,Drinking water in Home,PodrÌ_a decirme si en su casa tienen- Agua potable dentro de la vivienda,Could you tell me if you have the following in your house-Indoor Plumbing,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r14,Cuarto de baÌ±o dentro de casa,Indoor Bathroom in Home,PodrÌ_a decirme si en su casa tienen- Cuarto de baÌ±o dentro de la casa,Could you tell me if you have the following in your house-Indoor Bathroom,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r15,Computadora en casa,Computer in Home,PodrÌ_a decirme si en su casa tienen-Computadora (acepta tableta / iPad),Could you tell me if you have the following in your house-Computer (accept tablet / iPad),Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r16,Televisor de pantalla plana en casa,Flat Panel TV in Home,PodrÌ_a decirme si en su casa tienen-Televisor de pantalla plana,Could you tell me if you have the following in your house-Flat panel TV,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r18,Servicio de Internet en casa,Internet Service in Home,PodrÌ_a decirme si en su casa tienen-Servicio de Internet (incluyendo telÌ©fono o tableta),Could you tell me if you have the following in your house-Internet Service in your Home (including telephone and tablet),Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r3,Refrigerador en casa,Refrigerator in Home,PodrÌ_a decirme si en su casa tienen- Refrigerador (nevera),Could you tell me if you have the following in your house-Refrigerator,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r4,TelÌ©fono convencional en casa,Landline in Home,PodrÌ_a decirme si en su casa tienen- TelÌ©fono convencional / fijo / residencial (no celular),Could you tell me if you have the following in your house-Landline / residential telephone (not cellular),Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r4a,TelÌ©fono celular en casa,Cellular Telephone in Home,PodrÌ_a decirme si en su casa tienen- TelÌ©fono celular (acepta smartphone / telÌ©fono inteligente),Could you tell me if you have the following in your house-Cellular Telephone (accept smartphone),Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r5,NÌ¼mero de vehÌ_culos en casa,Number of Vehicles at the House,"PodrÌ_a decirme si en su casa tienen- VehÌ_culo o automÌ_vil, CuÌÁntos?","Could you tell me if you have the following in your house-Vehicle/car, How many?",Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r6,Lavadora de ropa en casa,Washing Machine in Home,PodrÌ_a decirme si en su casa tienen- Lavadora de ropa,Could you tell me if you have the following in your house-Washing Machine,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r7,Horno microondas en casa,Microwave Oven in Home,PodrÌ_a decirme si en su casa tienen- Horno microondas,Could you tell me if you have the following in your house-Microwave Oven,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
r8,Tiene motocicleta,Owns Motorcycle,PodrÌ_a decirme si en su casa tienen- Motocicleta,Could you tell me if you have the following in your house-Motorcycle,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
redist1,El gobierno debe gastar mÌÁs en ayudar a los pobres,Government Must Spend More Helping Poor,El gobierno debe gastar mÌÁs en ayudar a los pobres. åÀHasta quÌ© punto estÌÁ de acuerdo o en desacuerdo con esta frase?,The government must spend more on helping the poor. To what extent do you agree or disagree with this phrase?,The Economy,Economy,La economÌ_a,EconomÌ_a
redist2a,De acuerdo que ricos paguen mÌÁs en impuestos,Okay for Rich to Pay High Taxes,EstÌÁ bien que los ricos paguen mucho en impuestos pero reciban poco en servicios del Estado. åÀHasta quÌ© punto estÌÁ de acuerdo o en desacuerdo?,It's okay for the rich to pay a lot in taxes but receive little in state services. To what extent do you agree or disagree?,The Economy,Economy,La economÌ_a,EconomÌ_a
redist3,MayorÌ_a de desempleados podrÌ_a encontrar un trabajo,Most Unemployed Could Find Job if Wanted,La mayorÌ_a de los desempleados podrÌ_a encontrar un trabajo si quisiera. åÀHasta quÌ© punto estÌÁ de acuerdo o en desacuerdo?,Most of the unemployed could find a job if they wanted to. To what extent do you agree or disagree?,The Economy,Economy,La economÌ_a,EconomÌ_a
ros4,Estado debe reducir la desigualdad,Government Should Reduce Income Inequality,El Estado [nacionalidad] debe implementar polÌ_ticas firmes para reducir la desigualdad de ingresos entre ricos y pobres. åÀHasta quÌ© punto estÌÁ de acuerdo o en desacuerdo con esta frase?,The [nationality] government should implement strong policies to reduce income inequality between the rich and the poor. To what extent do you agree or disagree with this statement?,The Economy,Economy,La economÌ_a,EconomÌ_a
smedia1,Tiene cuenta de Facebook,Has Facebook Account,åÀTiene usted cuenta de Facebook?,Do you have a Facebook account?,Social Media,Social Media,Medios sociales,Medios sociales
smedia2,Ver contenido de Facebook de frecuencia,Frequency Viewing Facebook Content,åÀCon quÌ© frecuencia ve contenido en Facebook?,How often do you view content on Facebook?,NA,NA,NA,NA
smedia3,Frecuencia en observar info. polÌ_tica en  Facebook,Frequency Viewing Political Info. on Facebook,åÀCon quÌ© frecuencia ve informaciÌ_n polÌ_tica en Facebook?,How often do you view political information on Facebook?,NA,NA,NA,NA
smedia4,Tiene cuenta de Twitter,Has Twitter Account,åÀTiene usted cuenta de Twitter?,Do you have a Twitter account?,Social Media,Social Media,Medios sociales,Medios sociales
smedia5,Ver contenido de Twitter de frecuencia,Frequency Viewing Twitter Content,åÀCon quÌ© frecuencia ve contenido en Twitter?,How often do you view content on Twitter?,NA,NA,NA,NA
smedia6,Frecuencia en observar info. polÌ_tica en  Twitter,Frequency Viewing Political Info. on Twitter,åÀCon quÌ© frecuencia ve informaciÌ_n polÌ_tica en Twitter?,How often do you view political information on Twitter?,NA,NA,NA,NA
smedia7,Cuenta Whatsapp,Has Whatsapp Account,åÀTiene usted cuenta de WhatsApp?,Do you have a WhatsApp account?,Social Media,Social Media,Medios sociales,Medios sociales
smedia8,Frecuencia usando WhatsApp,Frequency Using WhatsApp,åÀCon quÌ© frecuencia usa WhatsApp?,How often do you use WhatsApp?,NA,NA,NA,NA
smedia9,Frecuencia en observar info. polÌ_tica en WhatsApp,Frequency Viewing Political Info. on WhatsApp,åÀCon quÌ© frecuencia ve informaciÌ_n polÌ_tica en WhatsApp?,How often do you view political information on WhatsApp?,NA,NA,NA,NA
soct2,EvaluaciÌ_n de la economÌ_a,Evaluation of the Economy,"åÀConsidera usted que la situaciÌ_n econÌ_mica del paÌ_s es mejor, igual o peor que hace doce meses?","Do you think that the country's current economic situation is better than, the same as or worse than it was 12 months ago?",The Economy,Economy,La economÌ_a,EconomÌ_a
ur,Urbano/Rural,Urban/Rural,Urbano/Rural,Urban/Rural,Sample Identification/Geographic,Sample Id,IdentificaciÌ_n muestral/geogrÌÁfica,Id muestral
vb10,Simpatiza con algÌ¼n partido polÌ_tico,Identifies with a Political Party,"åÀEn este momento, simpatiza con algÌ¼n partido polÌ_tico?",Do you currently identify with a political party?,Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
vb2,VotÌ_ en las Ì¼ltimas elecciones presidenciales,Voted in Last Presidential Election,åÀVotÌ_ usted en [la primera ronda de] las Ì¼ltimas elecciones presidenciales de [aÌ±o]?,Did you vote in the [first round of the] last presidential elections of [year]?,Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
vb20,IntenciÌ_n de voto presidencial,Vote Intention for President,"åÀSi esta semana fueran las prÌ_ximas elecciones presidenciales, quÌ© harÌ_a usted?","If the next presidential elections were being held this week, what would you do?",Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
vb50,Hombres son mejores lÌ_deres polÌ_ticos que mujeres,Men Are Better Political Leaders than Women,"Algunos dicen que en general, los hombres son mejores lÌ_deres polÌ_ticos que las mujeres. åÀEstÌÁ usted muy de acuerdo, de acuerdo, en desacuerdo, o muy en desacuerdo?","Some say that in general, men make better political leaders than women. Do you strongly agree, agree , disagree, or strongly disagree?",Gender,Gender,GÌ©nero,GÌ©nero
vb51,Hombres/Mujeres: mÌÁs corruptos como politicos,Men or Women: More Corrupt as Politicians,"åÀQuiÌ©n cree usted que serÌ_a mÌÁs corrupto como polÌ_tico, un hombre, una mujer, o ambos por igual?","Who do you think would be more corrupt as a politician, a man or a woman, or are both the same?",Gender,Gender,GÌ©nero,GÌ©nero
vb52,Hombres/Mujeres: manejan mejor la economÌ_a,Men or Women: Better Manager of Economy,"Y si le toca a un polÌ_tico o a una polÌ_tica manejar la economÌ_a nacional, åÀquiÌ©n va a hacer el mejor trabajo; un hombre, una mujer o no importa?","If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",Gender,Gender,GÌ©nero,GÌ©nero
vb58,Los niÌ±os sufren con madres trabajadoras,Children Suffer with Working Mothers,"åÀQuÌ© tan de acuerdo o en desacuerdo estÌÁ usted con la siguiente frase? Cuando la madre trabaja fuera de la casa, los hijos sufren.","How much do you agree or disagree with the next sentence? When the mother works outside the home, the children suffer.",Gender,Gender,GÌ©nero,GÌ©nero
vic1ext,VÌ_ctima de delincuencia,Victim of Crime,"åÀHa sido usted vÌ_ctima de algÌ¼n acto de delincuencia en los Ì¼ltimos 12 meses? Es decir, åÀha sido usted vÌ_ctima de un robo, hurto, agresiÌ_n, fraude, chantaje, extorsiÌ_n, amenazas o algÌ¼n otro tipo de acto delincuencial en los Ì¼ltimos 12 meses?","Have you been a victim of any type of crime in the past 12 months? That is, have you been a victim of robbery, burglary, assault, fraud, blackmail, extortion, violent threats or any other type of crime in the past 12 months?","Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democrÌÁticas,Apoyo democrÌÁtico
w14a,JustificaciÌ_n del aborto,Abortion Justified,"Y ahora, pensando en otros temas. åÀCree usted que se justificarÌ_a la interrupciÌ_n del embarazo, o sea, un aborto, cuando peligra la salud de la madre?","And now, thinking about other topics. Do you think it's justified to interrupt a pregnancy, that is, to have an abortion, when the mother's health is in danger?",Gender,Gender,GÌ©nero,GÌ©nero
wf1,Recibe asistencia del gobierno,Receives Government Assistance,"åÀUsted o alguien en su casa recibe ayuda (regular/periÌ_dica) en dinero, alimento o en productos de parte del gobierno, sin contar las pensiones?","Do you or someone in your household (regularly) receive assistance in the form of money, food, or products from the government, not including pensions/social security?",Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
year,AÌ±o,Year,AÌ±o,Year,Sample Identification/Geographic,Sample Id,IdentificaciÌ_n muestral/geogrÌÁfica,Id muestral
wt,,,,,,,,
weight1500,,,,,,,,
