column_name,value,label_en,label_es,value_recoded
l1b,1,Liberal,Liberal,NA
l1b,2,2,2,NA
l1b,3,3,3,NA
l1b,4,4,4,NA
l1b,5,5,5,NA
l1b,6,6,6,NA
l1b,7,7,7,NA
l1b,8,8,8,NA
l1b,9,9,9,NA
l1b,10,Conservative,Conservador,NA
q10new,0,No Income,Ningún ingreso,NA
q10new,1,1,1,NA
q10new,2,2,2,NA
q10new,3,3,3,NA
q10new,4,4,4,NA
q10new,5,5,5,NA
q10new,6,6,6,NA
q10new,7,7,7,NA
q10new,8,8,8,NA
q10new,9,9,9,NA
q10new,10,10,10,NA
q10new,11,11,11,NA
q10new,12,12,12,NA
q10new,13,13,13,NA
q10new,14,14,14,NA
q10new,15,15,15,NA
q10new,16,16,16,NA
q12,0,None,Ninguno,NA
q12,1,1,1,NA
q12,2,2,2,NA
q12,3,3,3,NA
q12,4,4,4,NA
q12,5,5,5,NA
q12,6,6,6,NA
q12,7,7,7,NA
q12,8,8,8,NA
q12,9,9,9,NA
q12,10,10,10,NA
q12,11,11,11,NA
q12,12,12,12,NA
q12,13,13,13,NA
q12,14,14,14,NA
q12,15,15,15,NA
q12,16,16,16,NA
q12,17,17,17,NA
q12,18,18,18,NA
q12,19,19,19,NA
q12,20,20,20,NA
q12,21,21,21,NA
q12,22,22,22,NA
q12,23,23,23,NA
q12,24,24,24,NA
q12,25,25+,25+,NA
etid,1,White,Blanca,NA
etid,2,Mestizo,Mestiza,NA
etid,3,Indigenous,Indígena,NA
etid,4,Black,Negra,NA
etid,5,Mulatto,Mulata,NA
etid,7,Other,Otra,NA
etid,1110,Quechua,Quechua,NA
etid,1111,Aymara,Aymara,NA
etid,1112,Amazonian,De la Amazonia,NA
etid,1113,Zamba,Zamba,NA
etid,1106,Oriental,Oriental,NA
etid,1506,Asian,Amarillo,NA
etid,1606,Morena,Morena,NA
etid,2306,Indian,Indios Orientales,NA
etid,2309,Chinese,Chino,NA
etid,2406,Chinese,Chino,NA
etid,2408,Portuguese,Portugués,NA
etid,3009,Chinese,Chino,NA
etid,3020,East Indian,Indios Orientales,NA
etid,3109,Chinese,Chino,NA
etid,3120,East Indian,Indios Orientales,NA
etid,3209,Chinese,Chino,NA
etid,3220,East Indian,Indios Orientales,NA
etid,3309,Chinese,Chino,NA
etid,3320,East Indian,Indios Orientales,NA
etid,3409,Chinese,Chino,NA
etid,3420,East Indian,Indios Orientales,NA
etid,3509,Chinese,Chino,NA
etid,3520,East Indian,Indios Orientales,NA
etid,4003,Hispanic or Latino,Hispano o Latino,NA
etid,4004,Asian or Asian American,Asiático o Asiático americano,NA
etid,4005,Native American,Indígena,NA
etid,4006,Mixed Race,Mestizo,NA
etid,4007,Middle Eastern,Medio Oriente,NA
etid,4008,Middle Eastern,Medio Oriente,NA
leng1,1,Castilian/Spanish,Castellano/español,NA
leng1,2,Indigenous or Amerindian language,Nativo indígena,NA
leng1,4,Other (indigenous),Otro (nativo),NA
leng1,5,Other foreign,Otro extranjero,NA
leng1,2401,English,Inglés,NA
leng1,2402,Indigenous or Amerindian language,Indígena o Amerindio,NA
leng1,2403,Chinese,Chino,NA
leng1,2405,Other foreign,Otro extranjero,NA
leng1,3001,English only,Solo Inglés,NA
leng1,3002,Grenadian Creole English,Creole Inglés Granadino,NA
leng1,3003,Grenadian Creole French,Creole Francés Granadino,NA
leng1,3004,Other (indigenous),Otro (nativo),NA
leng1,3005,Other foreign,Otro extranjero,NA
leng1,3006,Spanish,Español,NA
leng1,3101,English only,Solo Inglés,NA
leng1,3102,Patois/Creole,Patois/Creole,NA
leng1,3104,Other (indigenous),Otro (nativo),NA
leng1,3105,Other foreign,Otro extranjero,NA
leng1,3106,Spanish,Español,NA
leng1,3201,English only,Solo Inglés,NA
leng1,3202,Dominican Creole English,Creole Inglés Dominiqués,NA
leng1,3203,Patois,Patois,NA
leng1,3204,Other (indigenous),Otro (nativo),NA
leng1,3205,Other foreign,Otro extranjero,NA
leng1,3206,Spanish,Español,NA
leng1,3301,English only,Solo Inglés,NA
leng1,3302,Antiguan Creole (English),Creole Antiguano (Inglés),NA
leng1,3304,Other (indigenous),Otro (nativo),NA
leng1,3305,Other foreign,Otro extranjero,NA
leng1,3306,Spanish,Español,NA
leng1,3401,English only,Solo Inglés,NA
leng1,3402,Vincentian Creole,Creole Sanvincentino,NA
leng1,3405,Other foreign,Otro extranjero,NA
leng1,3406,Spanish,Español,NA
leng1,3501,English only,Solo Inglés,NA
leng1,3504,Other (indigenous),Otro (nativo),NA
leng1,3505,Other foreign,Otro extranjero,NA
leng1,3506,Spanish,Español,NA
pais,1,Mexico,México,mex
pais,2,Guatemala,Guatemala,gtm
pais,3,El Salvador,El Salvador,slv
pais,4,Honduras,Honduras,hnd
pais,5,Nicaragua,Nicaragua,nic
pais,6,Costa Rica,Costa Rica,cri
pais,7,Panama,Panamá,pan
pais,8,Colombia,Colombia,col
pais,9,Ecuador,Ecuador,ecu
pais,10,Bolivia,Bolivia,bol
pais,11,Peru,Perú,per
pais,12,Paraguay,Paraguay,pry
pais,13,Chile,Chile,chl
pais,14,Uruguay,Uruguay,ury
pais,15,Brazil,Brasil,bra
pais,16,Venezuela,Venezuela,ven
pais,17,Argentina,Argentina,arg
pais,21,Dominican Republic,República Dominicana,dom
pais,22,Haiti,Haití,hti
pais,23,Jamaica,Jamaica,jam
pais,24,Guyana,Guyana,guy
pais,25,Trinidad & Tobago,Trinidad & Tobago,tto
pais,26,Belize,Belice,blz
pais,27,Suriname,Surinam,sur
pais,28,Bahamas,Bahamas,bhs
pais,29,Barbados,Barbados,brb
pais,30,Grenada,Granada,grd
pais,31,Saint Lucia,Santa Lucía,lca
pais,32,Dominica,Dominica,dma
pais,33,Antigua and Barbuda, Antigua y Barbuda,atg
pais,34,Saint Vincent and the Grenadines,San Vicente y las Granadinas,vct
pais,35,Saint Kitts and Nevis,San Cristóbal y Nieves,kna
pais,40,United States,Estados Unidos,usa
pais,41,Canada,Canadá,can
